example_idx,concept_count,atomic_ce,interaction_ce,marker_size
0,5,0.19294264541240405,0.07385994051047429,1.4326237921249265
1,4,0.25314083788543934,0.21630118652527716,1.35
2,4,0.22325415629893539,0.4341894373716666,1.35
3,4,0.030651203931483847,0.03045612346086527,1.35
4,4,0.0661793374456465,0.054452796352938176,1.35
5,5,0.08945631432579826,0.07735743412434612,1.4326237921249265
6,5,0.04408473125076846,0.01833613725126865,1.4326237921249265
7,4,0.06360095067793729,0.0362942879944534,1.35
8,5,0.08957265989156436,0.08762651453288374,1.4326237921249265
9,4,0.025283499875513326,0.038162336373138664,1.35
10,4,0.0435611401480855,0.0727583116863468,1.35
11,5,0.033046810934320055,0.01303674187304776,1.4326237921249265
12,5,0.11901508613955226,0.05615759959837646,1.4326237921249265
13,4,0.029787289859086685,0.06807470315619521,1.35
14,4,0.09145629827253282,0.07928643613686095,1.35
15,5,0.042579575633862915,0.01890003513507057,1.4326237921249265
16,5,0.3203123252256773,0.17860754851382446,1.4326237921249265
17,4,0.042564975628920323,0.03483230764523983,1.35
18,5,0.3771040317253209,0.25946075070297814,1.4326237921249265
19,5,0.0531834619469009,0.047293547524311495,1.4326237921249265
20,5,0.04915937188197852,0.04572662794875173,1.4326237921249265
21,5,0.0461699725768994,0.028212558090693986,1.4326237921249265
22,4,0.014597584478906326,0.01711731746350955,1.35
23,4,0.024137966713169576,0.020618787631682338,1.35
24,5,0.0755888603860512,0.20003685576399707,1.4326237921249265
25,4,0.08732432029501062,0.06302875880359575,1.35
26,4,0.3408325124619296,0.1835510831932135,1.35
27,5,0.10981121429940684,0.08741931413533165,1.4326237921249265
28,6,0.20360007169074376,0.2241285392810249,1.5073214099741121
29,5,0.01826205720426508,0.018184885972727553,1.4326237921249265
