example_idx,concept_count,atomic_ce,interaction_ce,marker_size
0,5,0.0976839736104011,0.08711023851181147,1.4326237921249265
1,4,0.2895277217030525,0.2808391544816051,1.35
2,4,0.3649744652211666,0.3685992919542467,1.35
3,4,0.06665862258523697,0.0820019044759278,1.35
4,4,0.24272216763347382,0.24579349504259265,1.35
5,5,0.022359169228002358,0.019136970573364463,1.4326237921249265
6,5,0.11954891439527268,0.0640742095187306,1.4326237921249265
7,4,0.056282436009496395,0.053828700347962055,1.35
8,5,0.06667777672410008,0.037595157896076835,1.4326237921249265
9,4,0.028938632225617725,0.04077531340323316,1.35
10,4,0.05534026492387052,0.05398461882114396,1.35
11,5,0.04644605182111258,0.06440192852751912,1.4326237921249265
12,5,0.4308609042316675,0.3127861940750799,1.4326237921249265
13,4,0.12392286024987689,0.09458816098049277,1.35
14,5,0.03336020503193138,0.05691622067926985,1.4326237921249265
15,5,0.03013653336092824,0.03173454519768301,1.4326237921249265
16,5,0.21211985908448694,0.2135439549272163,1.4326237921249265
17,4,0.0542481848970055,0.07642255420982223,1.35
18,4,0.0984330447390675,0.09090133995937998,1.35
19,5,0.1247713770717382,0.09167970679700371,1.4326237921249265
20,5,0.045924979448318415,0.026846869019903494,1.4326237921249265
21,5,0.04980849884450432,0.0437849103678289,1.4326237921249265
22,4,0.01670314173679795,0.018762471595366734,1.35
23,4,0.23137033870443696,0.08402323252908266,1.35
24,5,0.0435797052457928,0.28320543136097825,1.4326237921249265
25,4,0.10238645784556863,0.1434863468607493,1.35
26,4,0.5329619664698839,0.28830716953306296,1.35
27,5,0.22988815084099767,0.1248328465787538,1.4326237921249265
28,6,0.2240155506879091,0.1317067405279459,1.5073214099741121
29,5,0.02108649115543808,0.02116716921316562,1.4326237921249265
