example_idx,concept_count,atomic_ce,interaction_ce,marker_size
0,16,0.00338981237746335,0.004165019898686186,2.05
5,15,0.005562557475059246,0.005266431640268221,2.005544171172596
9,12,0.011309101944789225,0.012386825751236985,1.862435565298214
161,25,0.004782436047316837,0.0042726943069844505,2.4
224,17,0.005481895685935459,0.004751055324699235,2.093086968966181
263,11,0.003882015000272036,0.003224738390516021,1.8108186766243897
267,12,0.00909453678711235,0.009213412727987242,1.862435565298214
295,16,0.0025301109105839233,0.0025332636693615896,2.05
351,15,0.00499069372308436,0.004888915870038279,2.005544171172596
356,12,0.005347195869338327,0.005583588540988046,1.862435565298214
391,8,0.011620349076110812,0.011752368688821556,1.6399494936611667
432,14,0.04549993054479272,0.04516643261345825,1.9595800853708796
434,12,0.046672118454201425,0.049643239295300054,1.862435565298214
438,11,0.0027309649687429272,0.00320855852509665,1.8108186766243897
513,15,0.041686908739696514,0.04722383939540962,2.005544171172596
521,10,0.00657169846817847,0.00631151538853539,1.756797181058933
523,26,0.0016748761285830308,0.0016748761285830308,2.4346568297574747
571,24,0.004030556906703425,0.003439786353495017,2.3646428199482243
644,18,0.003852983218368692,0.003691131135601602,2.1349242404917494
703,16,0.006752006042006496,0.006664038020599396,2.05
704,31,0.00173821292939402,0.0016454407293900433,2.5987175269905074
788,12,0.005842693276766384,0.006155119672269347,1.862435565298214
793,9,0.04410473383419831,0.0440221219160564,1.6999999999999997
813,20,0.008916458000021475,0.009214225434846818,2.2152475842498527
851,11,0.004012870362864515,0.004053594918702906,1.8108186766243897
1036,10,0.0027947615448283285,0.003114799203133553,1.756797181058933
1100,10,0.009908428540802509,0.009967340164462072,1.756797181058933
1101,13,0.003797253155006192,0.0039009096256907277,1.9119429464123963
1120,14,0.005529194284982957,0.0058736873068019856,1.9595800853708796
