example_idx,atomic_ce,interaction_ce
0,0.19294264541240405,0.07385994051047429
1,0.25314083788543934,0.21630118652527716
2,0.22325415629893539,0.4341894373716666
3,0.030651203931483847,0.03045612346086527
4,0.0661793374456465,0.054452796352938176
5,0.08945631432579826,0.07735743412434612
6,0.04408473125076846,0.01833613725126865
7,0.06360095067793729,0.0362942879944534
8,0.08957265989156436,0.08762651453288374
9,0.025283499875513326,0.038162336373138664
10,0.0435611401480855,0.0727583116863468
11,0.033046810934320055,0.01303674187304776
12,0.11901508613955226,0.05615759959837646
13,0.029787289859086685,0.06807470315619521
14,0.09145629827253282,0.07928643613686095
15,0.042579575633862915,0.01890003513507057
16,0.3203123252256773,0.17860754851382446
17,0.042564975628920323,0.03483230764523983
18,0.3771040317253209,0.25946075070297814
19,0.0531834619469009,0.047293547524311495
20,0.04915937188197852,0.04572662794875173
21,0.0461699725768994,0.028212558090693986
22,0.014597584478906326,0.01711731746350955
23,0.024137966713169576,0.020618787631682338
24,0.0755888603860512,0.20003685576399707
25,0.08732432029501062,0.06302875880359575
26,0.3408325124619296,0.1835510831932135
27,0.10981121429940684,0.08741931413533165
28,0.20360007169074376,0.2241285392810249
29,0.01826205720426508,0.018184885972727553
