example_idx,atomic_ce,interaction_ce
0,0.06343724920103945,0.2204387274606523
1,0.06012059856827055,0.1959085265920818
2,0.3086232303952177,0.30804399536511246
3,0.46294279769062996,0.3316440270564575
4,0.06400276379038886,0.18724084281212922
5,0.3608169111733635,0.3184743326271369
6,0.09694211619595683,0.25400230958944536
7,0.1719861185799042,0.19273017710787232
8,0.2086106332329412,0.11522077769482256
9,0.21228273973489795,0.18208691797259444
10,0.21873451753829912,0.1474326444670807
11,0.4256510076423486,0.3391756318333246
12,0.07098587059105432,0.07182778701449238
13,0.055499514099210466,0.26561675049043093
14,0.49691352993249893,0.47214557785322697
15,0.10938328970223661,0.11850530349634956
16,0.06443411080787576,0.1760110776884215
17,0.06799706195791558,0.07371455093024155
18,0.34830552091201145,0.7427103449962333
19,0.23355765314772722,0.17490487645765398
20,0.06829489177713786,0.3006567086480267
21,0.07001385806749258,0.07912311466372611
22,0.17475392343476412,0.08638592111961957
23,0.45397838950157166,0.47056839011792423
24,0.09095068772633866,0.21275693892360079
25,0.06642653637876109,0.14704894503008864
26,0.23476123608027893,0.18116436644703524
27,0.2053214597205321,0.20662996069617343
28,0.1010775508669515,0.20657045510056218
29,0.08098407741636034,0.15562842504304136
