concept_id,n_questions,mean_raw_ce,mean_adjusted_ce,mean_delta_ce
1,30,0.10105537512443132,0.11915058587318089,0.018095210748749594
2,30,0.010017287462121893,0.017866116534132524,0.007848829072010637
3,30,0.12290657399636175,0.1442391716440222,0.021332597647660462
4,30,0.15451151165697305,0.3909742997077269,0.23646278805075385
5,30,0.6750608678182793,0.9317137392954516,0.2566528714771723
6,30,0.4271086952235135,0.6529822988103102,0.22587360358679676
7,30,0.06637571534762778,0.08226355200193215,0.015887836654304367
8,30,0.03411538094903031,0.04381833113788799,0.009702950188857676
9,30,0.04803080785398679,0.06364371935855291,0.015612911504566125
10,30,0.15082458679874736,0.16994118681275003,0.019116600014002685
11,30,0.08961062530676521,0.10872722532076791,0.01911660001400269
12,30,0.048427135621507925,0.048427135621507925,0
