concept_id,n_questions,mean_raw_ce,mean_adjusted_ce,mean_delta_ce
1,30,0.2173662885195679,0.5314893224836679,0.3141230339640999
2,30,0.21299710488981669,0.5255603820060686,0.3125632771162519
3,30,0.25257544906602963,0.585403889767688,0.33282844070165835
4,30,0.14597642984655168,0.4707829506463116,0.3248065207997599
5,30,0.30610110503103993,0.6802308851251176,0.37412978009407766
6,30,0.195719216681189,0.5162550704667189,0.3205358537855299
7,30,0.21311966536773574,0.5352235408443785,0.32210387547664276
8,30,0.2224933257533444,0.5530462101546338,0.3305528844012895
9,30,0.20032630297872756,0.5332548324129371,0.3329285294342096
10,30,0.20553223937749862,0.3706658793118305,0.16513363993433186
11,30,0.18545804123083748,0.35059168116516937,0.16513363993433186
12,30,0.564178875585397,0.564178875585397,0
