dataset,row_category,column_category,co_grouped_pairs,eligible_pairs,co_grouping_percent
bbq,Actions & behavior,Actions & behavior,4,11,36.363636
bbq,Actions & behavior,Demographics,14,66,21.212121
bbq,Actions & behavior,Emotions & reactions,0,3,0.000000
bbq,Actions & behavior,Events & situations,0,5,0.000000
bbq,Actions & behavior,Identity & roles,2,3,66.666667
bbq,Actions & behavior,Intentions & attitudes,1,5,20.000000
bbq,Actions & behavior,Other details,0,0,
bbq,Actions & behavior,Relationships & family,4,28,14.285714
bbq,Actions & behavior,Setting & time,1,19,5.263158
bbq,Actions & behavior,Topics & communication,1,8,12.500000
bbq,Demographics,Actions & behavior,14,66,21.212121
bbq,Demographics,Demographics,6,39,15.384615
bbq,Demographics,Emotions & reactions,3,6,50.000000
bbq,Demographics,Events & situations,1,14,7.142857
bbq,Demographics,Identity & roles,0,5,0.000000
bbq,Demographics,Intentions & attitudes,6,18,33.333333
bbq,Demographics,Other details,0,1,0.000000
bbq,Demographics,Relationships & family,4,70,5.714286
bbq,Demographics,Setting & time,0,37,0.000000
bbq,Demographics,Topics & communication,18,42,42.857143
bbq,Emotions & reactions,Actions & behavior,0,3,0.000000
bbq,Emotions & reactions,Demographics,3,6,50.000000
bbq,Emotions & reactions,Emotions & reactions,0,0,
bbq,Emotions & reactions,Events & situations,0,2,0.000000
bbq,Emotions & reactions,Identity & roles,0,0,
bbq,Emotions & reactions,Intentions & attitudes,0,0,
bbq,Emotions & reactions,Other details,0,0,
bbq,Emotions & reactions,Relationships & family,0,4,0.000000
bbq,Emotions & reactions,Setting & time,0,2,0.000000
bbq,Emotions & reactions,Topics & communication,1,3,33.333333
bbq,Events & situations,Actions & behavior,0,5,0.000000
bbq,Events & situations,Demographics,1,14,7.142857
bbq,Events & situations,Emotions & reactions,0,2,0.000000
bbq,Events & situations,Events & situations,0,1,0.000000
bbq,Events & situations,Identity & roles,0,3,0.000000
bbq,Events & situations,Intentions & attitudes,0,2,0.000000
bbq,Events & situations,Other details,0,0,
bbq,Events & situations,Relationships & family,0,5,0.000000
bbq,Events & situations,Setting & time,0,3,0.000000
bbq,Events & situations,Topics & communication,0,6,0.000000
bbq,Identity & roles,Actions & behavior,2,3,66.666667
bbq,Identity & roles,Demographics,0,5,0.000000
bbq,Identity & roles,Emotions & reactions,0,0,
bbq,Identity & roles,Events & situations,0,3,0.000000
bbq,Identity & roles,Identity & roles,0,0,
bbq,Identity & roles,Intentions & attitudes,0,1,0.000000
bbq,Identity & roles,Other details,0,0,
bbq,Identity & roles,Relationships & family,0,2,0.000000
bbq,Identity & roles,Setting & time,0,3,0.000000
bbq,Identity & roles,Topics & communication,0,3,0.000000
bbq,Intentions & attitudes,Actions & behavior,1,5,20.000000
bbq,Intentions & attitudes,Demographics,6,18,33.333333
bbq,Intentions & attitudes,Emotions & reactions,0,0,
bbq,Intentions & attitudes,Events & situations,0,2,0.000000
bbq,Intentions & attitudes,Identity & roles,0,1,0.000000
bbq,Intentions & attitudes,Intentions & attitudes,0,0,
bbq,Intentions & attitudes,Other details,0,0,
bbq,Intentions & attitudes,Relationships & family,0,11,0.000000
bbq,Intentions & attitudes,Setting & time,0,3,0.000000
bbq,Intentions & attitudes,Topics & communication,1,7,14.285714
bbq,Other details,Actions & behavior,0,0,
bbq,Other details,Demographics,0,1,0.000000
bbq,Other details,Emotions & reactions,0,0,
bbq,Other details,Events & situations,0,0,
bbq,Other details,Identity & roles,0,0,
bbq,Other details,Intentions & attitudes,0,0,
bbq,Other details,Other details,0,0,
bbq,Other details,Relationships & family,0,1,0.000000
bbq,Other details,Setting & time,0,0,
bbq,Other details,Topics & communication,0,1,0.000000
bbq,Relationships & family,Actions & behavior,4,28,14.285714
bbq,Relationships & family,Demographics,4,70,5.714286
bbq,Relationships & family,Emotions & reactions,0,4,0.000000
bbq,Relationships & family,Events & situations,0,5,0.000000
bbq,Relationships & family,Identity & roles,0,2,0.000000
bbq,Relationships & family,Intentions & attitudes,0,11,0.000000
bbq,Relationships & family,Other details,0,1,0.000000
bbq,Relationships & family,Relationships & family,1,4,25.000000
bbq,Relationships & family,Setting & time,1,14,7.142857
bbq,Relationships & family,Topics & communication,3,30,10.000000
bbq,Setting & time,Actions & behavior,1,19,5.263158
bbq,Setting & time,Demographics,0,37,0.000000
bbq,Setting & time,Emotions & reactions,0,2,0.000000
bbq,Setting & time,Events & situations,0,3,0.000000
bbq,Setting & time,Identity & roles,0,3,0.000000
bbq,Setting & time,Intentions & attitudes,0,3,0.000000
bbq,Setting & time,Other details,0,0,
bbq,Setting & time,Relationships & family,1,14,7.142857
bbq,Setting & time,Setting & time,0,0,
bbq,Setting & time,Topics & communication,0,11,0.000000
bbq,Topics & communication,Actions & behavior,1,8,12.500000
bbq,Topics & communication,Demographics,18,42,42.857143
bbq,Topics & communication,Emotions & reactions,1,3,33.333333
bbq,Topics & communication,Events & situations,0,6,0.000000
bbq,Topics & communication,Identity & roles,0,3,0.000000
bbq,Topics & communication,Intentions & attitudes,1,7,14.285714
bbq,Topics & communication,Other details,0,1,0.000000
bbq,Topics & communication,Relationships & family,3,30,10.000000
bbq,Topics & communication,Setting & time,0,11,0.000000
bbq,Topics & communication,Topics & communication,0,2,0.000000
medqa,Anatomy & localization,Anatomy & localization,7,8,87.500000
medqa,Anatomy & localization,Care context,0,9,0.000000
medqa,Anatomy & localization,Demographics,2,27,7.407407
medqa,Anatomy & localization,Diagnosis & reasoning,0,0,
medqa,Anatomy & localization,Diagnostic tests,0,0,
medqa,Anatomy & localization,"Family, social & lifestyle",0,0,
medqa,Anatomy & localization,Imaging,2,4,50.000000
medqa,Anatomy & localization,Laboratory & pathology,1,8,12.500000
medqa,Anatomy & localization,Medical history,0,2,0.000000
medqa,Anatomy & localization,Medication & adherence,0,3,0.000000
medqa,Anatomy & localization,Mental health & cognition,0,1,0.000000
medqa,Anatomy & localization,Neurologic function,0,16,0.000000
