example_idx,diff_correlation_strength,mean_absolute_ce_diff,faithfulness_diff
0,0.3999999999999999,0.11244464105810534,0.06180691719055176
1,0.5,0.06862197190993126,0.040847599506378174
2,0.5,0.0577185053689935,0.06911352276802063
3,0.5,0.0019412510600745753,0.0074243247509002686
4,0.5,0.003925234974907495,0.01683509349822998
5,0.3999999999999999,0.004275542570891254,0.034103178419172764
6,0.3999999999999999,0.00616647113674688,0.0207861065864563
7,1,0.008748916062230648,0.026003122329711914
8,0.3999999999999999,0.0024374103854244394,0.014766067266464233
9,0.5,0.005899719805130824,0.004592686891555786
10,0.5,0.0025666910813311023,0.017542630434036255
11,0.3999999999999999,0.0014277507677552634,0.03368386626243591
12,0.3999999999999999,0.03890279173185207,0.17753680050373077
13,0.75,0.029219246661494936,0.28453559055924416
14,0.5,0.010026575399426505,0.04471149295568466
15,0.3999999999999999,0.0059237094736278775,0.0026878416538238525
16,0.3999999999999999,0.11539381207088444,0.013247400522232056
17,0.5,0.003915593940224529,0.01945539563894272
18,0.6000000000000001,0.1274985673191243,0.026164114475250244
19,0.8,0.01838699427751492,0.029850708320736885
20,0.3999999999999999,0.0035902795795366193,0.05170154571533203
21,0.3999999999999999,0.004466031657635058,0.3363329768180847
22,0.5,0.005424334288982551,0.035864949226379395
23,0.5,0.0016807093858764019,0.0029058754444122314
24,0.3999999999999999,0.04333974819665158,0.21826740354299545
25,0.5,0.0117240481954578,0.03217843174934387
26,0.5,0.13072555745473494,0.06589612364768982
27,1.7999999999999998,0.012151361917391648,0.003939352929592133
28,0.33333333333333326,0.024330648577144617,0.00353848934173584
29,0.3999999999999999,8.537368834025786e-4,0.040593263402115554
