example_idx,diff_correlation_strength,mean_absolute_ce_diff,faithfulness_diff
0,0.3999999999999999,0.11908270490192976,0.0790015459060669
1,0.5,0.03683965136016221,0.035075247287750244
2,0.5,0.21093528107273124,0.13905131816864014
3,0.5,1.950804706185756e-4,0.0184800922870636
4,0.5,0.011726541092708325,0.007097601890563965
5,0.3999999999999999,0.012098880201452137,0.029065127484500408
6,0.3999999999999999,0.02574859399949981,0.05061823129653931
7,1,0.027306662683483897,0.08597144484519958
8,0.3999999999999999,0.0019461453586806243,0.002133704721927643
9,0.5,0.012878836497625336,0.016186635941267014
10,0.5,0.029197171538261315,0.019361883401870728
11,0.3999999999999999,0.0200100690612723,0.05524808168411255
12,0.3999999999999999,0.0628574865411758,0.392257671803236
13,0.75,0.038287413297108525,0.08460157737135887
14,0.5,0.012169862135671873,0.03521895408630371
15,0.3999999999999999,0.02367954049879235,0.09607508778572083
16,0.3999999999999999,0.14170477671185286,0.07074597477912903
17,0.5,0.007732667983680493,0.011053822934627533
18,0.6000000000000001,0.13348033424657887,0.01209905743598938
19,0.8,0.030912875723257592,0.16001594625413418
20,0.3999999999999999,0.003432743933226792,0.04765912890434265
21,0.3999999999999999,0.01795741448620541,0.4272741377353668
22,0.5,0.0025197329846032256,0.038895606994628906
23,0.5,0.0035191790814872387,0.03204140067100525
24,0.3999999999999999,0.12444799537794589,0.40466973185539246
25,0.5,0.024295561491414867,0.11090803146362305
26,0.5,0.15728142926871608,0.03498169779777527
27,1.7999999999999998,0.038689476820080546,0.03997412323951721
28,0.33333333333333326,0.020528467590281155,0.009958148002624512
29,0.3999999999999999,7.717123153752788e-5,0.008822463161777705
