example_idx,diff_correlation_strength,mean_absolute_ce_diff,faithfulness_diff
0,0.3999999999999999,0.016416187154663822,0.10136634111404419
1,0.5,0.01653089235496187,0.008699685335159302
2,0.5,0.03308222855163917,0.059703826904296875
3,0.5,0.003989952879348628,0.04194808006286621
4,0.5,0.029645090606269093,0.02722261380404234
5,0.3999999999999999,0.00404585710784238,0.021711871027946472
6,0,0.05547470487654209,0.02750784158706665
7,1,0.015218417088378325,0.015102453529834747
8,2.2,0.04017795007879149,0.07241787761449814
9,0.5,0.011918055286008592,0.09752157330513
10,0.5,0.005005236670895349,0.017649471759796143
11,0.3999999999999999,0.007590796680089199,0.046980857849121094
12,0.3999999999999999,0.07966177408620648,0.14972398430109024
13,0,0.029334699269384118,0.04901209473609924
14,0.3999999999999999,0.005774607912179402,0.12125809490680695
15,0.3999999999999999,0.006689738137591458,0.14501340128481388
16,0.3999999999999999,0.008314959279153919,0.020195990800857544
17,1,0.01603489870667891,0.01849331706762314
18,0.5,0.009136347421688076,0.02045118808746338
19,0,0.03309167027473449,0.33399902284145355
20,0.3999999999999999,0.006325897941566844,0.00410345196723938
21,0.3999999999999999,0.00745182822623852,0.005950868129730225
22,0.5,0.0036475645955612746,0.10169654339551926
23,0.5,0.049378965729280855,0.05782034993171692
24,0.3999999999999999,0.059577054815317235,0.2981187701225281
25,0.5,0.006364710817131202,0.00638270378112793
26,0.5,0.20543093055337874,0.17277595587074757
27,0.3999999999999999,0.08374798433763106,0.19026866555213928
28,0.33333333333333326,0.07838485495129921,0.22446779906749725
29,0.3999999999999999,0.0012390207613512379,0.009811550378799438
