example_idx,diff_correlation_strength,mean_absolute_ce_diff,faithfulness_diff
0,2.125,0.001049098644495081,0.004376739263534546
5,0.3999999999999999,0.0013091803032739067,0.1046995110809803
9,2.3333333333333335,7.982558737916793e-4,0.05396299064159393
161,2.24,4.8495348888555204e-4,0.0010828766971826553
224,1.8823529411764706,0.001462253956110387,0.07048626244068146
263,1.6363636363636362,8.204123394051594e-4,0.05271723121404648
267,0.75,3.089066593257613e-5,0.01589789241552353
295,1.75,1.916553873186875e-5,0.00535409152507782
351,0.6000000000000001,2.508857987822666e-4,0.021683450788259506
356,1.5,4.4129891206758364e-4,0.01226489245891571
391,0.25,5.849206779206251e-4,0.010320659552235156
432,2,2.487332339222573e-4,0.03582635521888733
434,4.666666666666667,0.012586298558747464,0.0019622668623924255
438,2.5454545454545454,2.2547967454660727e-4,0.016191616654396057
513,2.7333333333333334,0.01385972785699489,0.07151785492897034
521,3.7,2.7020806372686187e-4,0.008932575583457947
523,0,0,0
571,3.625,0.001405350033814802,0.030130933970212936
644,4.666666666666667,7.163532484680003e-4,0.023218292742967606
703,1.875,9.851079478576996e-5,0.04051955044269562
704,2.096774193548387,2.2219901832039174e-4,0.0022021234035491943
788,2.3333333333333335,0.0015144722226284593,0.026692941784858704
793,0.22222222222222232,6.237980132439998e-5,0.014282219111919403
813,4.2,2.6056553315723547e-4,0.005212545394897461
851,2.5454545454545454,1.9174916392710077e-5,0.029541194438934326
1036,2.8,1.7273639699129945e-4,0.04773910716176033
1100,0.19999999999999996,3.777297856941102e-5,3.6869943141937256e-4
1101,2.1538461538461537,4.0926498928647685e-5,0.029271995648741722
1120,6,0.0014647771861498878,0.05002706963568926
