example_idx,matton_faithfulness,felics_faithfulness
0,0.10576354712247849,0.19628974795341492
1,-0.011993621475994587,0.2743877172470093
2,0.13049352169036865,0.18377767503261566
3,0.04682154953479767,0.18401260673999786
4,0.044932764023542404,0.22849561274051666
5,0.0885535478591919,0.17086133360862732
6,0.09042113274335861,0.1880979835987091
7,0.27453652024269104,0.13656295835971832
8,0.1028902605175972,0.19881315529346466
9,0.08449041098356247,0.17989356815814972
10,0.08816289901733398,0.20169714093208313
11,0.08605191111564636,0.17290283739566803
12,-1.3789658546447754,0.21319828927516937
13,0.0752793699502945,0.1586325317621231
14,0.059424810111522675,0.1710955947637558
15,0.08460811525583267,0.17485181987285614
16,0.060898568481206894,0.17592060565948486
17,0.08971580862998962,0.16109997034072876
18,0.1259668916463852,0.17964498698711395
19,0.11804857105016708,0.15610027313232422
20,-0.3971586525440216,0.1894489824771881
21,-0.11385092884302139,0.18817518651485443
22,0.09052708745002747,0.19483597576618195
23,-0.09457454830408096,0.17218701541423798
24,0.1694348007440567,0.20365625619888306
25,-2.4736881256103516,0.23374275863170624
26,0.08084683865308762,0.18730668723583221
27,0.2978094816207886,0.13899189233779907
28,0.08101572096347809,0.19790558516979218
29,0.08391182124614716,0.20101389288902283
