index,rho,p_value
0,0.951,1.02e-6
1,0.902,3.00e-5
2,0.727,0.004
3,0.972,6.43e-8
4,0.958,4.77e-7
5,0.902,3.00e-5
6,0.986,2.06e-9
7,0.979,1.54e-8
8,0.902,3.00e-5
9,0.965,1.94e-7
10,0.881,7.63e-5
11,0.860,1.66e-4
12,0.657,0.010
13,0.965,1.94e-7
14,0.832,3.93e-4
15,0.986,2.06e-9
16,0.902,3.00e-5
17,0.881,7.63e-5
18,0.958,4.77e-7
19,0.965,1.94e-7
20,0.972,6.43e-8
21,0.874,1.00e-4
22,0.986,2.06e-9
23,0.790,0.001
24,0.937,3.50e-6
25,0.902,3.00e-5
26,0.818,5.72e-4
27,0.748,0.003
28,0.727,0.004
29,0.944,1.96e-6
