example_idx,atomic_faithfulness,joint_faithfulness
0,0.269110232591629,-0.0141786616295576
1,-0.0308531057089567,0.0368726663291454
2,0.0933017656207085,0.297144740819931
3,-0.292485862970352,-0.127859845757484
4,-0.212222173810005,-0.0682559832930565
5,0.140949100255966,-0.040259562432766
6,-0.172194570302963,-0.146672427654266
7,-0.210198432207108,-0.0714143738150597
8,-0.290379762649536,-0.148405820131302
9,-0.260390669107437,-0.289412170648575
10,0.00870981812477112,-0.0109652541577816
11,-0.198629811406136,-0.185102730989456
12,-0.263323098421097,-0.20149964094162
13,-0.172140672802925,0.0976040065288544
14,-0.237051144242287,-0.232536822557449
15,-0.249396711587906,-0.0713743939995766
16,-0.0544013492763042,0.0156068028882146
17,-0.322497934103012,-0.280827641487122
18,0.173349678516388,-0.0648682415485382
19,0.00337815005332232,-0.122966594994068
20,-0.241812914609909,0.113942585885525
21,-0.22847318649292,-0.17409473657608
22,-0.300821423530579,-0.305913150310516
23,-0.263567417860031,-0.236454725265503
24,0.126881375908852,0.217974200844765
25,-0.218573987483978,-0.159666731953621
26,-0.159150704741478,-0.0728660002350807
27,-0.113811776041985,-0.184831723570824
28,0.0652464330196381,0.14461512863636
29,-0.170859947800636,-0.160435020923615
