example_idx,atomic_faithfulness,interaction_faithfulness
0,0.26911023259162903,-0.01417866162955761
1,-0.03085310570895672,0.03687266632914543
2,0.09330176562070847,0.29714474081993103
3,-0.2924858629703522,-0.12785984575748444
4,-0.2122221738100052,-0.06825598329305649
5,0.1409491002559662,-0.04025956243276596
6,-0.17219457030296326,-0.14667242765426636
7,-0.21019843220710754,-0.07141437381505966
8,-0.29037976264953613,-0.14840582013130188
9,-0.26039066910743713,-0.28941217064857483
10,0.008709818124771118,-0.010965254157781601
11,-0.19862981140613556,-0.18510273098945618
12,-0.2633230984210968,-0.20149964094161987
13,-0.1721406728029251,0.09760400652885437
14,-0.23705114424228668,-0.23253682255744934
15,-0.24939671158790588,-0.07137439399957657
16,-0.054401349276304245,0.015606802888214588
17,-0.3224979341030121,-0.2808276414871216
18,0.17334967851638794,-0.06486824154853821
19,0.003378150053322315,-0.12296659499406815
20,-0.24181291460990906,0.11394258588552475
21,-0.22847318649291992,-0.17409473657608032
22,-0.3008214235305786,-0.30591315031051636
23,-0.26356741786003113,-0.23645472526550293
24,0.12688137590885162,0.2179742008447647
25,-0.21857398748397827,-0.1596667319536209
26,-0.15915070474147797,-0.07286600023508072
27,-0.11381177604198456,-0.18483172357082367
28,0.06524643301963806,0.14461512863636017
29,-0.1708599478006363,-0.1604350209236145
