faithfulness,density
-1.40144e0,4.5
-1.3178433e0,4.5013
-1.2342441e0,4.5042
-1.1506473e0,4.5102
-1.067048e0,4.5191
-9.834465e-1,4.5282
-8.99852e-1,4.5327
-8.162505e-1,4.53
-7.32656e-1,4.5225
-6.490544e-1,4.5172
-5.654721e-1,4.5224
-4.818802e-1,4.5474
-3.982639e-1,4.6
-3.14672e-1,4.6803
-2.310556e-1,4.7734
-1.474878e-1,4.8502
-6.38959e-2,4.8848
1.97202e-2,4.8781
1.03312e-1,4.8643
1.869284e-1,4.8847
2.705203e-1,4.9446
3.541365e-1,5.0
4.3768e-1,4.9933
5.212964e-1,4.9061
6.049123e-1,4.7737
6.885042e-1,4.6496
7.721205e-1,4.566
8.557124e-1,4.5234
9.393288e-1,4.5066
1.0229207e0,4.5
