faithfulness,density
-1.01878e0,2.1
-9.506364e-1,2.1013
-8.824908e-1,2.1038
-8.143472e-1,2.1089
-7.462015e-1,2.11751
-6.78054e-1,2.12921
-6.099121e-1,2.143
-5.417647e-1,2.1589
-4.736229e-1,2.18031
-4.054753e-1,2.21321
-3.373434e-1,2.2624
-2.692038e-1,2.32701
-2.010442e-1,2.39801
-1.329045e-1,2.4595
-6.4745e-2,2.4951
3.3752e-3,2.49881
7.15149e-2,2.4826
1.396742e-1,2.47131
2.078139e-1,2.48651
2.759734e-1,2.5303
3.441132e-1,2.58011
4.122726e-1,2.5999
4.80373e-1,2.5628
5.485324e-1,2.4705
6.166917e-1,2.35211
6.848314e-1,2.2445
7.52991e-1,2.1692
8.211307e-1,2.12761
8.892903e-1,2.1091
9.5743e-1,2.1
