faithfulness,density
-6.356e-1,4.5
-5.8341843e-1,4.5016
-5.312353e-1,4.5048
-4.7905377e-1,4.5124
-4.2687062e-1,4.5275
-3.7468608e-1,4.5526
-3.2250592e-1,4.5878
-2.7032138e-1,4.6292
-2.1814122e-1,4.6698
-1.6595668e-1,4.7027
-1.1378413e-1,4.7254
-6.16056e-2,4.7409
-9.41182e-3,4.7566
4.276672e-2,4.7808
9.49605e-2,4.8184
1.4712402e-1,4.8681
1.9930257e-1,4.9216
2.5149611e-1,4.9678
3.0367465e-1,4.9962
3.5586844e-1,5.0
4.08047e-1,4.9746
4.602408e-1,4.9182
5.12389e-1,4.8356
5.645828e-1,4.7402
6.167764e-1,4.6506
6.68955e-1,4.5816
7.211487e-1,4.5378
7.733272e-1,4.5149
8.255211e-1,4.5049
8.776996e-1,4.5
