faithfulness,density
-5.2861e-1,2.1
-4.810883e-1,2.1042
-4.335652e-1,2.112
-3.8604353e-1,2.1288
-3.385204e-1,2.1591
-2.90996e-1,2.20421
-2.4347559e-1,2.2599
-1.9595119e-1,2.31801
-1.4843079e-1,2.37161
-1.0090639e-1,2.4207
-5.339291e-2,2.4696
-5.87398e-3,2.52031
4.165883e-2,2.5657
8.917776e-2,2.59421
1.3671057e-1,2.5991
1.8421584e-1,2.58751
2.3173477e-1,2.57591
2.7926738e-1,2.57771
3.267863e-1,2.5917
3.7431912e-1,2.6
4.2183806e-1,2.58081
4.6937086e-1,2.5229
5.168623e-1,2.43321
5.643951e-1,2.3322
6.119278e-1,2.2418
6.594467e-1,2.17531
7.069795e-1,2.13461
7.544984e-1,2.11371
8.020313e-1,2.1046
8.495502e-1,2.1
