faithfulness,density
2.968e-2,4.5
4.5445857e-2,4.50163
6.1212177e-2,4.50523
7.6978018e-2,4.51392
9.2744351e-2,4.53162
1.08511102e-1,4.56235
1.24276527e-1,4.60858
1.4004327e-1,4.66864
1.558087e-1,4.73586
1.7157544e-1,4.80135
1.8733856e-1,4.86105
2.031035e-1,4.91682
2.1887305e-1,4.96762
2.3463799e-1,5.0
2.5040752e-1,4.9961
2.6616792e-1,4.95418
2.8193286e-1,4.89651
2.9770233e-1,4.8502
3.1346727e-1,4.82251
3.2923682e-1,4.79863
3.4500175e-1,4.76172
3.6077129e-1,4.70938
3.7652708e-1,4.65157
3.9229663e-1,4.59933
4.080661e-1,4.5586
4.2383104e-1,4.53064
4.3960059e-1,4.51385
4.5536551e-1,4.50531
4.7113506e-1,4.50168
4.869e-1,4.5
