faithfulness,density
1.315e-2,2.1
2.7390028e-2,2.10231
4.1630472e-2,2.10722
5.5870488e-2,2.1188
7.0110944e-2,2.14125
8.4351779e-2,2.17757
9.8591417e-2,2.2277
1.12832251e-1,2.28877
1.2707188e-1,2.356
1.4131271e-1,2.4234
1.5555028e-1,2.48364
1.6978947e-1,2.53047
1.8403282e-1,2.56235
1.9827202e-1,2.58334
2.1251538e-1,2.59715
2.2675049e-1,2.59999
2.4098969e-1,2.58163
2.5523297e-1,2.53665
2.6947217e-1,2.47244
2.8371552e-1,2.40434
2.9795471e-1,2.34401
3.1219807e-1,2.29356
3.2642902e-1,2.24918
3.4067236e-1,2.20741
3.5491566e-1,2.1694
3.6915486e-1,2.1389
3.8339821e-1,2.11845
3.976374e-1,2.1073
4.1188077e-1,2.10239
4.2611996e-1,2.1
