faithfulness,density
-5.825e-1,4.5
-5.4416946e-1,4.50323
-5.058378e-1,4.51077
-4.675073e-1,4.52992
-4.291756e-1,4.57043
-3.9084288e-1,4.64098
-3.5251338e-1,4.74123
-3.1418066e-1,4.85481
-2.7585118e-1,4.95131
-2.3751846e-1,4.99995
-1.9919456e-1,4.98763
-1.6086626e-1,4.92693
-1.2252676e-1,4.84764
-8.419846e-2,4.77882
-4.585895e-2,4.73438
-7.54167e-3,4.71217
3.078664e-2,4.7022
6.912596e-2,4.69427
1.0745427e-1,4.68163
1.4579376e-1,4.66101
1.8412207e-1,4.6334
2.2246158e-1,4.60297
2.6076765e-1,4.5743
2.9910716e-1,4.54984
3.3744649e-1,4.53075
3.757748e-1,4.51695
4.1411429e-1,4.50813
4.524426e-1,4.50333
4.907822e-1,4.50114
5.291104e-1,4.5
