faithfulness,density
-5.4097e-1,2.1
-5.0396463e-1,2.1029
-4.6695818e-1,2.10948
-4.2995284e-1,2.12561
-3.9294635e-1,2.15735
-3.5593887e-1,2.20885
-3.1893452e-1,2.27907
-2.8192705e-1,2.36203
-2.449227e-1,2.44815
-2.0791522e-1,2.52504
-1.7091628e-1,2.57883
-1.3391306e-1,2.6
-9.689903e-2,2.58722
-5.989583e-2,2.54608
-2.28818e-2,2.48602
1.411076e-2,2.41913
5.111398e-2,2.35745
8.812784e-2,2.30777
1.2513104e-1,2.26958
1.6214507e-1,2.2389
1.9914828e-1,2.21326
2.3616231e-1,2.19173
2.7314406e-1,2.1728
3.1015808e-1,2.1546
3.4717194e-1,2.1369
3.8417516e-1,2.12157
4.2118918e-1,2.11057
4.5819238e-1,2.10426
4.952065e-1,2.10141
5.322096e-1,2.1
