faithfulness,density
-4.5229e-1,4.5
-4.2085863e-1,4.50183
-3.8942633e-1,4.5059
-3.57995e-1,4.51607
-3.2656267e-1,4.53743
-2.9512952e-1,4.57602
-2.63699e-1,4.63577
-2.3226585e-1,4.71523
-2.0083534e-1,4.80502
-1.6940219e-1,4.89027
-1.3797627e-1,4.95575
-1.0654674e-1,4.99216
-7.510802e-2,5.0001
-4.367848e-2,4.9907
-1.223976e-2,4.97725
1.918073e-2,4.96243
5.061028e-2,4.93642
8.204884e-2,4.89174
1.1347838e-1,4.83437
1.449171e-1,4.77711
1.7634663e-1,4.72723
2.0778535e-1,4.68224
2.3919667e-1,4.638
2.7063539e-1,4.59517
3.0207396e-1,4.55821
3.335035e-1,4.53104
3.6494221e-1,4.51418
3.9637175e-1,4.50545
4.2781047e-1,4.50175
4.5924e-1,4.5
