faithfulness,density
-4.2108e-1,2.1
-3.9131825e-1,2.10167
-3.6155563e-1,2.10524
-3.317939e-1,2.11374
-3.0203123e-1,2.13055
-2.7226779e-1,2.15947
-2.4250687e-1,2.20499
-2.1274342e-1,2.27205
-1.8298248e-1,2.36252
-1.5321904e-1,2.46536
-1.2346245e-1,2.55441
-9.370242e-2,2.6
-6.393372e-2,2.59198
-3.41737e-2,2.54807
-4.40498e-3,2.49814
2.534647e-2,2.46068
5.510649e-2,2.43442
8.487506e-2,2.40738
1.1463509e-1,2.37097
1.444038e-1,2.32626
1.741638e-1,2.28079
2.0393253e-1,2.24017
2.3367528e-1,2.2052
2.63444e-1,2.1743
2.9321257e-1,2.14745
3.229726e-1,2.1264
3.527413e-1,2.11247
3.8250131e-1,2.10492
4.1227002e-1,2.1016
4.4203004e-1,2.1
