faithfulness,density
-4.673e-1,4.5
-4.2336372e-1,4.5039
-3.7942615e-1,4.5115
-3.354899e-1,4.5285
-2.9155229e-1,4.5605
-2.4761351e-1,4.6108
-2.0367844e-1,4.6769
-1.5973965e-1,4.7491
-1.1580457e-1,4.8126
-7.186578e-2,4.8539
-2.793712e-2,4.8682
1.59966e-2,4.8654
5.994315e-2,4.8662
1.0387688e-1,4.8885
1.4782343e-1,4.9326
1.917445e-1,4.9786
2.3567824e-1,4.9999
2.796246e-1,4.9806
3.2355832e-1,4.9235
3.6750487e-1,4.8451
4.114386e-1,4.7637
4.5538515e-1,4.691
4.992934e-1,4.6314
5.4324e-1,4.5847
5.871863e-1,4.5502
6.311201e-1,4.5267
6.750667e-1,4.5125
7.190004e-1,4.505
7.62947e-1,4.5017
8.068806e-1,4.5
