faithfulness,density
-4.365e-1,2.1
-3.9548714e-1,2.1037
-3.5447305e-1,2.1109
-3.1346022e-1,2.1273
-2.724461e-1,2.1595
-2.3143091e-1,2.2137
-1.9041916e-1,2.2919
-1.4940396e-1,2.3882
-1.0839221e-1,2.4861
-6.737701e-2,2.5628
-2.637126e-2,2.5999
1.463922e-2,2.59671
5.566168e-2,2.5724
9.667215e-2,2.55371
1.3769461e-1,2.55661
1.786933e-1,2.5771
2.1970378e-1,2.5968
2.6072604e-1,2.5957
3.0173653e-1,2.5636
3.4275899e-1,2.5036
3.8376947e-1,2.4272
4.2479192e-1,2.34761
4.6577863e-1,2.2744
5.0680109e-1,2.2133
5.4782336e-1,2.16681
5.888339e-1,2.13521
6.298564e-1,2.1163
6.708669e-1,2.1065
7.118893e-1,2.1022
7.528998e-1,2.1
